Pt	110138	3	38367874	+
Pt	110138	7	47205091	+
Pt	110138	1	13261891	+
Pt	110138	1	27106690	-
Pt	110138	9	11615351	-
Pt	110138	6	60232011	-
Pt	110138	8	34715854	+
Mt	98038	*	0	-
Pt	73842	3	28850092	-
Pt	50535	3	38372516	+
Pt	66998	10	44013038	-
Pt	66998	6	56712201	-
Mt	374935	*	0	-
Pt	63867	*	0	-
Mt	76132	3	38383498	-
Mt	510534	2	41891960	-
Pt	66312	1	50333612	+
Pt	66312	2	58078525	-
Pt	79038	6	49032940	-
Pt	79038	8	17108884	+
Pt	79038	1	50329248	+
Mt	411137	10	393623	+
Mt	448356	*	0	-
Mt	11111	*	0	-
Mt	356474	*	0	-
Pt	54176	3	18264025	-
Pt	54176	4	7313551	-
Pt	70706	3	28852426	-
Pt	70706	3	38345871	+
Pt	70706	3	38340445	+
Pt	31858	3	28855955	-
Pt	31858	1	60368453	+
Pt	3363	2	4211037	+
Pt	12720	5	61186600	-
Pt	12720	9	47460842	+
Pt	12720	10	10618094	+
Mt	108119	9	35127419	+
Mt	108119	4	2855759	-
Mt	185996	*	0	-
Pt	56824	5	67806600	-
Pt	56824	3	38364943	+
Pt	56824	6	46918485	-
Pt	56824	6	51943194	-
Pt	56824	7	58034648	-
Pt	56824	7	58016217	-
Pt	111760	2	47261256	+
Pt	111760	9	52951928	-
Pt	111760	3	71410004	+
Pt	67532	3	28845903	+
Pt	67532	2	66734926	+
Mt	8752	*	0	-
Mt	232091	7	4984058	+
Mt	232091	6	3972633	-
Mt	232091	10	42330022	+
Mt	232091	1	21423754	+
Pt	139291	4	4942900	+
Pt	139291	7	39130448	-
Pt	139291	9	14848425	+
Mt	385083	*	0	-
Mt	108349	9	35127524	+
Mt	496997	*	0	-
Mt	389275	*	0	-
Mt	388671	*	0	-
Mt	191869	*	0	-
Mt	472552	*	0	-
Mt	233670	*	0	-
Mt	204827	*	0	-
Mt	307857	*	0	-
Mt	336423	10	42124150	-
Mt	336423	8	62013035	-
Mt	336423	3	38348995	-
Mt	336423	3	65722703	-
Mt	336423	8	4850327	+
Mt	250363	*	0	-
Mt	346145	9	14848425	-
Mt	346145	4	4942900	-
Mt	346145	7	39130451	+
Mt	287309	*	0	-
Pt	78085	6	49033901	-
Pt	72774	3	28851627	-
Pt	72774	3	38334440	-
Pt	72774	8	48607862	-
Pt	59194	7	8205554	-
Pt	59194	3	71155762	+
Pt	59194	4	323295	+
Pt	59194	2	66739528	-
Pt	59194	5	9601083	+
Pt	59194	1	1050833	+
Pt	59194	3	59534192	+
Pt	59194	4	43336297	+
Pt	59194	1	22237070	+
Mt	254397	*	0	-
Mt	204632	4	59605247	+
Mt	201993	*	0	-
Mt	548916	10	42326027	-
Mt	234411	*	0	-
Mt	265988	*	0	-
Mt	306309	*	0	-
Pt	112473	8	59352755	+
Pt	112473	4	37408645	-
Pt	112473	7	55651433	-
Mt	564497	*	0	-
Pt	1674	4	56042206	-
Pt	1674	10	60570851	+
Pt	1674	1	4220629	+
Pt	1674	7	17109227	+
Pt	1674	3	14187778	+
Pt	1674	4	47080266	-
Pt	1674	4	59773826	+
Mt	199269	*	0	-
Pt	81113	7	63669714	-
Pt	81113	2	6587359	+
Mt	362802	*	0	-
Mt	101544	*	0	-
Mt	208261	3	38339648	-
Mt	208261	3	38345074	-
Mt	339779	*	0	-
Mt	511894	*	0	-
Pt	117772	3	38413866	+
Pt	117772	9	49208612	+
Mt	351309	*	0	-
Mt	138031	*	0	-
Mt	226253	3	29016917	-
Pt	78488	6	49033406	-
Pt	78488	1	13261069	+
Mt	406845	*	0	-
Mt	438523	*	0	-
Mt	284756	*	0	-
Mt	360534	*	0	-
Mt	501949	*	0	-
Mt	342957	*	0	-
Mt	19813	6	10580328	+
Mt	214706	*	0	-
Mt	479553	*	0	-
